"出題順","番号","チャプター","ユニット","形式","問題文","選択肢1","選択肢2","選択肢3","選択肢4","選択肢5","選択肢6","正解","正解の内容","完成文","訳","POINT","解説","誤答チェック・補足","備考"
"30","116","Chapter 2 準動詞","UNIT 3 動名詞(1)","誤文訂正","My little sister did ①everything ②she could to avoid ③to eat ④carrots.","① everything","② she could to avoid","③ to eat","④ carrots","","","3","③ to eat","My little sister did everything she could to avoid eating carrots.","私の妹はニンジンを食べるのを避けるためにできることをすべてやった。","avoid は動名詞のみを目的語にとる","文全体は did everything she could（できることはすべてした）に、目的を表す不定詞 to avoid ～（～を避けるために）が続く構造です。問題は avoid の目的語の形で、avoid は megafeps の一つとして目的語に動名詞のみをとり、不定詞は続けられません。したがって③ to eat が誤りで、avoid eating carrots と直します。直前の to avoid という不定詞につられて「また to か」と流してしまわず、avoid の語法そのものをチェックするのが着眼点です。①の everything と②の she could の間には目的格の関係代名詞が省略されており、こちらは正しい形です。","【訂正】③ to eat → eating",""
"31","216","Chapter 3 構造系","UNIT 5 疑問","空所補充","A : （　） will win the annual best album award?
B : The Bangles, for sure.","Do you think who","Who do you think","Who will you think","Who you think","","","2","Who do you think","A: Who do you think will win the annual best album award? B: The Bangles, for sure.","A：年間ベストアルバム賞は誰が取ると思う？ B：絶対バングルスだね。","疑問詞＋do you think ...? — Yes/No で答えられない疑問は疑問詞を文頭に","do you think が絡む疑問文の語順問題です。この質問は「誰が勝つと思うか」を尋ねており、Yes/No では答えられません。このように具体的な情報を求める場合は、疑問詞を文頭に出して「疑問詞＋do you think＋（S）V」の語順にします。ここでは who がもともと will win の主語なので、Who do you think will win ...? と who の直後に do you think が割り込む形になります。B が The Bangles と固有名詞で答えていることも、「Yes/No 型ではなく疑問詞先頭型」を選ぶ根拠になります。","1 Do you think who：疑問詞が文中に残っており、英語ではこの語順は不可のため×
3 Who will you think：「思うか」と尋ねるのは現在のことなので think に will は不要で、後ろの will win と助動詞が重複するため×
4 Who you think：do のない平叙文の語順で、疑問文として成立しないため×",""
"32","172","Chapter 3 構造系","UNIT 2 関係詞(2)","空所補充","Mario has a habit of biting his fingernails （　） he is nervous.","during","whenever","by","throughout","","","2","whenever","Mario has a habit of biting his fingernails whenever he is nervous.","マリオは、緊張するといつも爪を噛む癖があります。","複合関係副詞 whenever ＝「〜するときはいつでも」","空所の後ろには he is nervous という「主語＋動詞」のそろった完全な文（節）が続いています。節を導けるのは接続詞の働きを持つ語なので、複合関係副詞 whenever「〜するときはいつでも」を選びます。whenever he is nervous で「彼が緊張するときはいつでも」という時の副詞節になり、「緊張するたびに爪を噛む癖がある」という自然な文が完成します。一方、during・by・throughout はいずれも前置詞なので、後ろには名詞しか置けず、節を続けることはできません。「後ろが節なら接続詞、名詞なら前置詞」という判別の基本を確認できる問題です。","1 during：前置詞なので後ろに節（SV）を置けないため×
3 by：前置詞であり、後ろに節を続けられないため×
4 throughout：これも前置詞で、後ろには名詞が必要なため×",""
"33","028","Chapter 1 動詞関連","UNIT 3 助動詞(1)","整序（英文選択）","私はかつて妹とままごとをしたものです。
日本語の意味に合う英文として最も適切なものを選びなさい。","I used to play house with my sister.","I used play to house with my sister.","I use to play house with my sister.","I used to played house with my sister.","","","1","I used to play house with my sister.","I used to play house with my sister.","私はかつて妹とままごとをしたものです。","used to do「かつて〜したものだ」（過去の習慣）","「かつて〜したものだ」という過去の習慣は used to + 動詞の原形で表します。主語 I の直後に used to を置き、動詞の原形 play を続けます。「ままごとをする」は play house という決まった表現で、冠詞をつけずに house をそのまま使う点がポイントです。最後に「妹と」を with my sister とまとめれば完成です。used to は「今はもうしていない」という現在との対比を含む表現であることも押さえておきましょう。","【組み立て】
「かつて〜したものだ」→ used to ＋原形を確定
「ままごとをする」→ play house（無冠詞の決まり文句）
「妹と」→ with my (sister)",""
"34","283","Chapter 4 品詞系","UNIT 3 冠詞・名詞","誤文訂正","You ①had better change ②train ③at the ④next station.","① had better change","② train","③ at the","④ next station","","","2","② train","You had better change trains at the next station.","次の駅で電車を乗り換えたほうがいいですよ。","change trains「電車を乗り換える」は複数形","②の train が誤りで、正しくは複数形の trains です。「乗り換える」という動作は、今乗っている電車と次に乗る電車の「2本の電車」が関わるため、相互複数と呼ばれるルールで必ず複数形を使います。make friends with（友達になる）や shake hands with（握手する）と同じ発想です。①の had better は「〜したほうがよい」という助動詞相当表現で、後ろに動詞の原形 change が続いており正しい形です。③ at the と④ next station も「次の駅で」という自然な表現で問題ありません。change buses / change planes も同様に複数形を使います。","【訂正】② train → trains",""
"35","006","Chapter 1 動詞関連","UNIT 1 時制(1)","空所補充","We'll be late unless we （　） now.","leave","don't leave","have left","will leave","","","1","leave","We'll be late unless we leave now.","今出発しないと、私たちは遅れてしまうだろう。","unless（〜しない限り）の節も条件の副詞節＝現在形","unless は「もし〜しないなら（= if ... not）」という意味の接続詞で、if と同じく条件の副詞節を導きます。したがって未来の内容でも will は使わず現在形で表し、leave が正解です。もう一つの注意点は、unless 自体にすでに否定（not）の意味が含まれていることです。そこに don't を重ねると「出発しないのでなければ」と二重否定になってしまい、意味が壊れます。","2 don't leave：unless に否定の意味が含まれているので、not を重ねると二重否定になるため×
3 have left：「今出発する」という内容に完了形は合わないため×
4 will leave：条件の副詞節では will を使えないため×",""
"36","180","Chapter 3 構造系","UNIT 3 比較(1)","空所補充","Jeff and Jenny saved （　） they could to visit their uncle in Hawaii.","as a lot of money as","as much money as","money as a lot as","money as possible as","","","2","as much money as","Jeff and Jenny saved as much money as they could to visit their uncle in Hawaii.","ジェフとジェニーは、ハワイのおじを訪ねるために、できる限り多くのお金を貯めた。","as much＋不可算名詞＋as one can「できるだけ多くの～」","空所の後ろに they could があることから、「as ～ as one can[could]（できるだけ～）」の構文だと見抜きます。「多くのお金」のように名詞の量を比較するときは、as と as の間に「much＋不可算名詞」をはさんで as much money as の語順にします。money は数えられない名詞なので many ではなく much を使う点にも注意してください。よって 2 が正解です。a lot of は肯定文で便利な表現ですが、原級比較の as ～ as の間では使えず、much / many を用いるのが決まりです。","1 as a lot of money as：as ～ as の間に a lot of は置けない（much を使う）ため×
3 money as a lot as：名詞を as の外に出したうえ a lot を挟む語順は文法的に成立しないため×
4 money as possible as：as ～ as possible の語順が崩れており、しかも they could と重複するため×",""
"37","373","Chapter 5 文型","UNIT 4 第5文型の語法(2)","整序（英文選択）","コンピューターのおかげで私たちはその作業を短時間で終わらせることができた。
日本語の意味に合う英文として最も適切なものを選びなさい。","The computer enabled us to the work finish in a short time.","The computer enabled us to finish the work in a short time.","The computer us to enabled finish the work in a short time.","The computer enable us to finish the work in a short time.","","","2","The computer enabled us to finish the work in a short time.","The computer enabled us to finish the work in a short time.","コンピューターのおかげで私たちはその作業を短時間で終わらせることができた。","無生物主語 + enable O to do","「〜のおかげで…できた」という日本語を見たら、無生物主語 + enable O to do（SはOが〜するのを可能にした）への言い換えを疑いましょう。文頭に The があるので、主語は The computer に決まります。あとは enabled us to finish（enable O to do）とつなぎ、finish の目的語に the work を置けば完成です。訳すときは「コンピューターが可能にした」ではなく「コンピューターのおかげで〜できた」と自然に訳すのがポイントです。","【組み立て】
The に続く主語を computer に確定 → enabled us to finish（enable O to do）→ finish の目的語 the work",""
"38","085","Chapter 2 準動詞","UNIT 1 不定詞(1)","空所補充","He was the only one （　） the accident.","to survive","to be survived","survived","have survived","","","1","to survive","He was the only one to survive the accident.","彼はその事故で生き残ったただ一人の人だった。","the only one を修飾する不定詞の形容詞的用法","空所以下は直前の名詞 the only one「ただ一人の人」を後ろから修飾する部分です。名詞を後ろから説明する to 不定詞（形容詞的用法）は、the first / the last / the only などの限定表現と非常に相性がよく、the only one to do で「〜した唯一の人」を表します（＝ the only one who survived と関係代名詞で書き換え可能）。また survive は「〜を生き延びる」という他動詞なので、survive the accident と直接目的語をとり、受動態にする必要はありません。「the only one + to 不定詞」の形をそのまま覚えておきましょう。","2 to be survived：survive は「（人が）事故を生き延びる」という能動の関係なので受動態は×
3 survived：過去分詞の後置修飾では「事故に生き残られた人」という受動の意味になり不自然なため×
4 have survived：名詞を修飾するには to が必要で、have survived を直接続けられないため×",""
"39","033","Chapter 1 動詞関連","UNIT 4 助動詞(2)","空所補充","X : Your apartment is really compact.
Y : You may （　） think this is small, but it's actually larger than average.","good","well","better","best","","","2","well","X : Your apartment is really compact.","X：君のアパート、本当にコンパクトだね。","may well do「〜するのももっともだ／たぶん〜だろう」","Y : You may well think this is small, but it's actually larger than average.
Y：ここが狭いと思うのももっともだけど、実は平均より広いんだよ。
may の直後に空所があり、その後に動詞 think が続く形です。ここに入れられるのは、助動詞と動詞の間に割り込める副詞だけです。may well do で「〜するのももっともだ」という熟語になり、「（見た目がコンパクトだから）狭いと思うのももっともだ」という会話の流れにぴったり合います。この well は「上手に」ではなく「十分に・当然に」という意味の副詞で、may の推量・当然性を強める働きをしています。but 以下で「でも実は平均より広い」と続くことからも、「そう思うのは無理もないが」という譲歩の意味が求められていると分かります。","1 good：形容詞なので、助動詞 may と動詞 think の間に置けないため×
3 better：比較級を入れる熟語は存在せず、比較対象もないため×
4 best：may best think という形は熟語として存在しないため×",""
"40","055","Chapter 1 動詞関連","UNIT 6 仮定法(2)","空所補充","Makoto was very tired last night. Otherwise, he （　） to see the movie.","will go","have gone","will have gone","would have gone","","","4","would have gone","Makoto was very tired last night. Otherwise, he would have gone to see the movie.","マコトは昨夜とても疲れていた。そうでなければ、映画を見に行っていただろう。","otherwise = 「もしそうでなかったら」（if 節の代用）","otherwise は前の文の内容を受けて「もしそうでなかったら（= if he had not been very tired）」という仮定法の if 節の代わりを務める副詞です。前の文は last night と過去の話なので、「昨夜疲れていなかったら」という過去の事実に反する仮定になります。したがって帰結節は仮定法過去完了の「助動詞の過去形 + have + 過去分詞」、つまり would have gone が正解です。otherwise を見たら「直前の文を打ち消した仮定」と読み替え、時制（過去の話か現在の話か）から帰結節の形を決めるのが手順です。","1 will go：直説法の未来形で、過去の事実に反する仮定を表せないため×
2 have gone：助動詞がなく、単独の have gone では帰結節の形にならないため×
3 will have gone：未来完了「〜してしまっているだろう」であり、過去への反実仮想ではないため×",""
"41","222","Chapter 3 構造系","UNIT 6 否定","空所補充","I cannot hear that song （　） thinking of my old friend.","with","without","which","whose","","","2","without","I cannot hear that song without thinking of my old friend.","あの歌を聴くと、必ず昔の友人を思い出す。","cannot ... without -ing「〜すると必ず…する」（二重否定）","cannot ... without -ing は直訳すると「…することなしには〜できない」ですが、否定を2つ重ねること（二重否定）で、結果的に「〜すれば必ず…する」という強い肯定の意味になる頻出表現です。この文では cannot hear と without thinking の2つの否定要素が組み合わさり、「あの歌を聴けば必ず昔の友人のことを考えてしまう」となります。空所の後ろが thinking という動名詞なので、前置詞が入ると見抜けるかどうかも着眼点です。訳すときは「〜せずには…できない」より「〜すると必ず…する」と処理したほうが自然な日本語になります。","1 with：with thinking では「考えることと共に」となり意味を成さないため×
3 which：先行詞 that song を受ける関係代名詞としても、後ろの thinking ... と文がつながらないため×
4 whose：所有格の関係代名詞の後ろには名詞が必要で、thinking of ... と続けられないため×",""
"42","141","Chapter 2 準動詞","UNIT 6 分詞(2)","空所補充","空所に入る最も適切なものを選択肢から1つ選びなさい。
（　） along the street, I found a new coffee shop that had just opened last week.","Walk","Walked","Walking","To walk","","","3","Walking","Walking along the street, I found a new coffee shop that had just opened last week.","通りを歩いていると、先週開店したばかりの新しいコーヒーショップを見つけました。","主語と能動関係なら現在分詞で始まる分詞構文","カンマの後ろに I found という完全な文（SV）があるので、空所からカンマまでは文の主語 I を説明する副詞のカタマリ、つまり分詞構文（接続詞と主語を省略し、分詞で始める表現）です。分詞構文では、意味上の主語は主節の主語と一致します。ここでは「私が歩く」という能動の関係なので、現在分詞 Walking を選びます。When I was walking along the street, I found ... と書き換えられると考えると分かりやすいでしょう。","1 Walk：動詞の原形は命令文になってしまい、後ろの I found とつながらないため×
2 Walked：過去分詞は「歩かれる」という受動の意味になり、I との関係が不自然なため×
4 To walk：文頭の to 不定詞は「〜するために」（目的）となり、「歩くために見つけた」では意味が通らないため×",""
"43","135","Chapter 2 準動詞","UNIT 5 分詞(1)","空所補充","空所に入る最も適切なものを選択肢から1つ選びなさい。
David sat on the chair with his arms （　）.","fold","folded","been folding","being folding","","","2","folded","David sat on the chair with his arms folded.","デイビッドは腕を組んで椅子に座っていた。","付帯状況の with O C(O と C が受動関係なら過去分詞)","「with + 名詞 + 分詞」で「〜を…した状態で」を表す付帯状況の問題です。名詞 his arms と fold(〜を折りたたむ、組む)の関係を考えると、腕は「組まれる」側なので受動の関係です。したがって過去分詞 folded が正解で、with his arms folded で「腕を組んだ状態で=腕組みをして」となります。with one's arms folded(腕を組んで)、with one's legs crossed(脚を組んで)、with one's eyes closed(目を閉じて)は入試頻出の3点セットなので、まとめて覚えておきましょう。","1 fold：動詞の原形は with O の後の補語になれないため×
3 been folding：been は have とセットで使う形であり、単独でここに置くことはできないため×
4 being folding：being と folding という2つの -ing 形を並べる形は文法的に成立しないため×",""
"44","251","Chapter 4 品詞系","UNIT 1 前置詞","空所補充","We will finish this work （　） 5 o'clock.","since","until","for","by","","","4","by","We will finish this work by 5 o'clock.","私たちは5時までにこの仕事を終えるつもりです。","by「〜までに」（期限）― 完了を表す動詞とセット","finish「終える」は一瞬で完了する動作なので、「5時までずっと終え続ける」ことはできません。「5時までに（その時点までのどこかで）終える」という期限を表す by が正解です。前問（250）とは逆のパターンで、until（till）は「〜までずっと」という継続を表すため、finish のような完了動詞とは相性が悪いのです。by ＝期限（deadline）、until ＝継続、と日本語の「〜までに／〜まで」の違いとセットで覚えておくと、迷わず選べるようになります。","1 since：「〜以来」は過去の起点を表し、現在完了などと使う語で、未来の文に合わないため×
2 until：「〜までずっと」という継続を表し、完了動詞 finish と合わないため×
3 for：「〜の間」は期間の長さを表し、5 o'clock という時刻を続けられないため×",""
"45","088","Chapter 2 準動詞","UNIT 1 不定詞(1)","空所補充","This bike is too big for Ted （　）.","ride","riding","rode","to ride","","","4","to ride","This bike is too big for Ted to ride.","この自転車は大きすぎてテッドには乗れない。","too ... for A to do「…すぎてAには〜できない」","too + 形容詞 + for A + to do は「…すぎてAには〜できない」という頻出構文です。for Ted は to 不定詞の意味上の主語（実際に「乗る」動作をする人）を表しており、for の後ろには必ず to 不定詞が続きます。もう一つ大事なのは、この構文では文の主語（This bike）が to ride の目的語を兼ねるため、to ride it のように目的語を繰り返さない点です。so ... that 構文で書き換えると This bike is so big that Ted can't ride it. となり、that 節の中では it が必要になる、という対比も入試で狙われます。","1 ride：too ... for A の後は to 不定詞が必要で、原形は置けないため×
2 riding：too ... for A to do の構文に動名詞は使えないため×
3 rode：過去形の動詞をここに置く文法的な働きがないため×",""
"46","326","Chapter 5 文型","UNIT 1 第1〜第3文型の語法","空所補充","I grew （　） in Fukushima and came here five years ago.","by","to","up","over","","","3","up","I grew up in Fukushima and came here five years ago.","私は福島で育ち、5年前にここへ来ました。","「育つ」は grow up（自動詞＋副詞）","「福島で育って、5年前にここに来た」という文脈から、「育つ」を表す grow up を完成させます。grow up は〈自動詞＋副詞〉の句動詞で、「（人が）成長する・大人になる」という意味です。過去形 grew up の後ろに場所を表す in Fukushima が続く、ごく典型的な第1文型（S＋V）の文です。なお、grow 単独だと「（植物などが）育つ」「〜を栽培する」の意味が中心になるので、「人が育つ」は grow up とセットで覚えましょう。","1 by：grow by では「育つ」の意味にならないため×
2 to：grow to do（〜するようになる）の形はあるが、直後が in Fukushima で不成立のため×
4 over：grow over という熟語はここでは成立しないため×",""
"47","368","Chapter 5 文型","UNIT 4 第5文型の語法(2)","空所補充","I really hadn't expected the test （　） so difficult.","be","of being","to be","to being","","","3","to be","I really hadn't expected the test to be so difficult.","テストがそんなに難しいとは本当に思っていなかった。","expect O to do「Oが〜すると予想する」","expect は expect O to do（Oが〜すると予想する・期待する）の形を取る動詞です。ここでは O が the test、その後に「（テストが）そんなに難しい」という内容を続けるので、to be so difficult とします。過去完了 hadn't expected は「（テストを受けて難しさが分かった時点より前に）予想していなかった」ことを表しています。expect A of B などと混同しないよう、expect O to do をひとかたまりで覚えましょう。","1 be：expect の補語に原形不定詞は置けないため×
2 of being：expect O of doing という形は存在しないため×
4 to being：to不定詞の to の後ろは動詞の原形であり、動名詞 being は続かないため×",""
"48","321","Chapter 4 品詞系","UNIT 6 副詞","整序（英文選択）","とても暑い日だったので,だれも外に出たいと思いませんでした。
日本語の意味に合う英文として最も適切なものを選びなさい。","It was so a hot day that nobody wanted to go outside.","It was such a hot day that nobody wanted to go outside.","It was such hot a day that nobody wanted to go outside.","It was a such hot day that nobody wanted to go outside.","","","2","It was such a hot day that nobody wanted to go outside.","It was such a hot day that nobody wanted to go outside.","とても暑い日だったので、誰も外に出たいと思いませんでした。","such + a +形容詞+名詞+ that S V：such は冠詞の前に置く","主語 It に対してまず動詞 was を置き、「とても暑い日だったので…」を such ~ that … の構文で組み立てます。such は名詞のかたまり全体を修飾する語なので、〈such + a +形容詞+名詞〉= such a hot day の語順になり、冠詞 a は such の後ろ・形容詞 hot の前に置きます。最後に that を置けば、nobody wanted to go outside という結果の節につながります。前問の so beautiful a day と本問の such a hot day を並べて見比べ、「so は a が形容詞の後ろ、such は a が形容詞の前」という対比を体に染み込ませておきましょう。","【組み立て】
It のあとに動詞 was を確定
such a hot day（such + a +形容詞+名詞の語順）
that + nobody wanted … と結果の節につなげる",""
"49","052","Chapter 1 動詞関連","UNIT 5 仮定法(1)","整序（英文選択）","会議で何か新しいことが起こったら、私に知らせてください。
日本語の意味に合う英文として最も適切なものを選びなさい。","Should anything new happen in the meeting, please let me know.","Should anything happen new in the meeting, please let me know.","Should new anything happen in the meeting, please let me know.","Anything new should happen in the meeting, please let me know.","","","1","Should anything new happen in the meeting, please let me know.","Should anything new happen in the meeting, please let me know.","会議で何か新しいことが起こったら、私に知らせてください。","should の倒置と「-thing＋形容詞」の語順","「if S should＋原形（万一〜なら）」の if を省略した倒置形で、Should を文頭に置きます。主語は anything ですが、anything・something など -thing で終わる代名詞は形容詞を後ろに置くというルールがあるため、anything new（何か新しいこと）の語順になります。そのあとに動詞の原形 happen を続けて、Should anything new happen が完成です。帰結節が please let me know と命令文なのも、should 型の仮定法によくあるパターンです。","【組み立て】
②Should を文頭に（if 省略の倒置）→ 主語 ③anything＋④new（-thing は形容詞が後置）→ 動詞の原形 ①happen",""
"50","183","Chapter 3 構造系","UNIT 3 比較(1)","空所補充","Gabriela has five times （　） bags as I do.","as many","as more","many","more","","","1","as many","Gabriela has five times as many bags as I do.","ガブリエラは私の5倍の数のかばんを持っている。","倍数詞＋as many＋可算名詞＋as「…のX倍の数の～」","空所の前に five times（5倍）、後ろに bags as I do があるので、倍数表現「倍数詞＋as＋原級＋as」の形だと判断します。名詞の数を比較する場合は、as と as の間に「many＋可算名詞（数えられる名詞）」をはさんで as many bags as とします。bags は数えられる名詞なので much ではなく many です。よって 1 が正解です。問180の as much money as（量）とセットで、「数なら many、量なら much」と整理しておくと得点源になります。","2 as more：as ～ as の間に比較級 more は置けないため×
3 many：many だけでは前の five times と bags 後ろの as をつなぐ as が欠けるため×
4 more：比較級 more は than と組む形であり、後ろの as と合わないため×",""
