No.,単語,日本語,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,日本語訳
162,hold back ～,～を制止する、抑える,The strong metal fence could barely (     ) the excited crowd rushing toward the famous singer.,go over,hold back,take in,put on,2,その丈夫な金属のフェンスは、有名な歌手に向かって殺到する興奮した群衆をかろうじて制止できた。
163,in fact,実際は,"He seems very shy, but (     ), he is quite friendly once you know him.",in fact,at first,in time,at once,1,彼はとても内気に見えるが、実際は、知り合えばとても親しみやすい。
164,in general,一般に、たいてい,People (     ) like to relax and spend time with their families on weekends.,in advance,in vain,in general,in time,3,人々はたいてい週末にはくつろいで家族と時間を過ごすのが好きだ。
165,thanks to ～,～のおかげで,We finished the big project on time (     ) all of your kind help.,instead of,as for,thanks to,in spite of,3,皆さんの親切な手助けのおかげで、私たちは大きな計画を時間通りに終えた。
166,even if ～,たとえ～でも,I will go for a long walk in the park (     ) it rains tomorrow.,so that,even if,now that,as if,2,たとえ明日雨が降っても、私は公園で長い散歩をするつもりだ。
167,point out ～,～を指摘する,The teacher (     ) a few mistakes in my English essay yesterday.,ran out of,showed off,gave back,pointed out,4,昨日、先生は私の英語のエッセイの中のいくつかの誤りを指摘した。
168,call for ～,～を必要とする、～を求める,This delicate recipe (     ) fresh herbs and a great deal of patience.,calls up,calls for,calls on,calls off,2,この繊細なレシピは、新鮮なハーブと多大な忍耐を必要とする。
169,see to it that ～,必ず～するよう取り計らう,Please (     ) that all the windows are locked before you leave.,look up to,get along,see to it,take part,3,出かける前に、必ず窓が全部施錠されているように取り計らってください。
170,take off ～,～を脱ぐ,Please (     ) your shoes before you enter the Japanese-style room.,get off,take off,run off,turn off,2,和室に入る前に、靴を脱いでください。
171,attribute A to B,ある結果を特定の原因のせいだと考える,Experts (     ) the sudden rise in sea levels to the rapid melting of polar ice.,attach,attribute,expose,adjust,2,専門家たちは、海面の急上昇を極地の氷の急速な融解のせいだと考えている。
172,instead of ～,～の代わりに,Let's walk to school today (     ) taking the crowded bus.,instead of,thanks to,in spite of,because of,1,混んだバスに乗る代わりに、今日は学校まで歩こう。
173,at times,時々,"My grandfather is usually cheerful, but (     ) he becomes very quiet and thoughtful.",in time,on time,at times,in no time,3,祖父はたいてい陽気だが、時々とても静かで考え込むことがある。
174,go out,外出する,"It suddenly started to rain, so we decided not to (     ) this evening.",go out,come true,grow up,go on,1,急に雨が降り出したので、私たちは今晩は外出しないことにした。
175,be willing to do,進んで〜する,"If you are busy, I am (     ) help you carry these heavy boxes upstairs.",willing to,reluctant to,unable to,afraid to,1,もしあなたが忙しいなら、私は喜んでこれらの重い箱を上の階まで運ぶのを手伝います。
176,in detail,詳細に,The teacher explained the rules of the game (     ) so that everyone could understand.,in turn,in vain,in detail,in time,3,先生は皆が理解できるように、そのゲームのルールを詳細に説明した。
177,be aware of ～,～に気づいている,Every driver must (     ) the new traffic rules that started this month.,be full of,be made of,be capable of,be aware of,4,すべての運転手は、今月始まった新しい交通ルールに気づいていなければならない。
178,used to do,以前は～だった,"I (     ) live in Osaka, but I moved to Tokyo five years ago.",ought to,about to,going to,used to,4,以前は大阪に住んでいたが、5年前に東京へ引っ越した。
179,make sure that ～,～であることを確実にする,"Before you leave the house, (     ) all the windows are closed.",make sure that,get along with,take care of,look forward to,1,家を出る前に、すべての窓が閉まっていることを確認しなさい。
180,all the time,いつでも,My little brother is playing games on his phone (     ) these days.,at once,on time,in time,all the time,4,弟は最近いつでもスマホでゲームをしている。
181,by chance,偶然に、たまたま,I met an old school friend (     ) while I was shopping in town.,at once,by chance,in fact,on time,2,私は町で買い物をしている時に、偶然、昔の学校の友達に会った。
182,do away with ～,不要なものを廃止する、なくす,The new government promised to (     ) all the outdated and unfair tax rules.,do without,catch up with,make up for,do away with,4,新政府は時代遅れで不公平な税制をすべて廃止すると約束した。
183,give in to~,〜に屈する,"The children begged for ice cream, and finally their mother (     ) their request.",took part in,gave in to,came up with,looked back on,2,子どもたちはアイスクリームをねだり、ついに母親は彼らの要求に屈した。
184,consist of~,〜で構成されている、〜から成る,"Our soccer team (     ) eleven players, including the goalkeeper.",depends on,consists of,belongs to,results in,2,私たちのサッカーチームは、ゴールキーパーを含む11人の選手で構成されている。
185,be different from ～,～と異なる,My new smartphone is completely (     ) my old one; nothing is the same.,close to,equal to,different from,similar to,3,私の新しいスマートフォンは古い方とまったく異なり、何一つ同じではない。
186,be afraid of ～,～を恐れる、怖がる,"My little sister is (     ) big dogs, so she never touches them.",afraid of,fond of,proud of,full of,1,私の妹は大きな犬を怖がっているので、決してそれらに触らない。
187,look over ～,～をざっと目を通して調べる,Please (     ) these documents carefully before the meeting starts.,put off,take off,look over,give up,3,会議が始まる前に、これらの書類にざっと目を通しておいてください。
188,participate in ～,～に参加する,Many students hope to (     ) the school festival to show off their talents.,participate in,refer to,belong to,object to,1,多くの生徒が才能を披露するために学園祭に参加したいと思っている。
189,make up one's mind,決心する,"After thinking for a long time, she finally (     ) to study abroad.",made up her mind,changed her mind,spoke her mind,lost her mind,1,長い間考えた末、彼女はついに留学する決心をした。
190,carry on ~,〜を続ける,"Even after the long break, the workers decided to (     ) their project as before.",carry out,carry on,put off,give up,2,長い休憩の後でも、労働者たちは以前と同じように自分たちのプロジェクトを続けることにした。
191,help ～ with …,～の…を手伝う,My kind neighbor helped me (     ) the garden all afternoon.,of,for,with,to,3,親切な隣人が午後じゅう私の庭仕事を手伝ってくれた。
192,hand in ～,～を提出する,Please (     ) your reports to the teacher before Friday afternoon.,hand out,put off,take off,hand in,4,金曜の午後までに、レポートを先生に提出してください。
193,at random,無作為に、手当たり次第に,The researchers chose one hundred people (     ) from the city to answer the questionnaire.,at random,at first,at least,at once,1,研究者たちはアンケートに答えてもらうため、その都市から無作為に100人を選んだ。
194,die out,死滅する、完全に消える,Many kinds of animals may (     ) if we do not protect their habitats.,die out,break out,find out,run out,1,もし生息地を守らなければ、多くの種類の動物が死滅してしまうかもしれない。
195,be made (out) of~,〜でできている、〜で作られている,This traditional Japanese house is (     ) wood and paper instead of bricks.,made of,made up,made for,made by,1,この伝統的な日本の家は、れんがの代わりに木と紙でできている。
196,for good（and all）,永久に,"After the bad accident, he decided to give up driving (     ).",for short,for sure,for good,for free,3,ひどい事故のあと、彼は運転を永久にやめることに決めた。
197,as a（general）rule,通例、概して,"(     ), I go to bed before eleven o'clock and get up early in the morning.",As a result,As a whole,As a favor,As a rule,4,通例、私は11時前に寝て、朝早く起きる。
198,allow for ～,～を考慮に入れる,"When planning the journey, you should (     ) possible delays caused by heavy snow.",fall for,long for,answer for,allow for,4,その旅程を計画するときは、大雪による遅れの可能性を考慮に入れるべきだ。
199,get lost,道に迷う,"Without a map, the tourists (     ) in the old part of the city.",got over,got lost,got along,got up,2,地図がなかったので、旅行者たちは市の古い地区で道に迷った。
200,as for [to] ~,〜に関しては、〜はどうかと言えば,"My sister loves sports, but (     ) me, I prefer reading books at home.",except for,such as,apart from,as for,4,姉はスポーツが大好きだが、私に関して言えば、家で本を読むほうが好きだ。
