No.,単語,日本語,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,日本語訳
179,despite,〜にもかかわらず,"(     ) the heavy rain, the game continued.",Without,Because,Until,Despite,4,激しい雨にもかかわらず、試合は続いた。
180,mention,～に言及する,"During the meeting, he did not (     ) the problem with the new computer system.",mention,arrive,apologize,belong,1,会議の間、彼は新しいコンピューターシステムの問題に言及しなかった。
181,temperature,気温,"The (     ) rose to 35 degrees, so we stayed inside all day.",weight,distance,height,temperature,4,気温が35度まで上がったので、私たちは一日中室内にいた。
182,defeat,を負かす,Our team managed to (     ) the strongest soccer club in the final match yesterday.,default,defend,define,defeat,4,私たちのチームは昨日の決勝戦で、最も強いサッカークラブを何とか負かした。
183,insist,強く主張する,He firmly (     ) that he was not lying to us.,doubted,wondered,insisted,forgot,3,彼は自分がうそをついていないと強く主張した。
184,propose,を提案する、結婚を申し込む,"At the meeting, she will (     ) a new plan to save money for the company.",suppose,expose,propose,oppose,3,会議で、彼女は会社の経費を節約する新しい計画を提案するだろう。
185,reflect,を反射する、を反映する、熟考する,The calm surface of the lake can (     ) the mountains and the blue sky perfectly.,reflect,respect,collect,connect,1,その湖の穏やかな水面は、山々と青空を完璧に映し出すことができる。
186,protest,(に)抗議する,Thousands of citizens gathered to (     ) against the new tax in front of city hall.,protect,provide,produce,protest,4,何千人もの市民が、市役所の前で新しい税金に抗議するために集まった。
187,quantity,量,We need to order a large (     ) of paper for the school festival next week.,quality,quarter,quietly,quantity,4,私たちは、来週の学園祭のために大量の紙を注文する必要がある。
188,imply,をほのめかす、をあんに示す,Her silence at the meeting seemed to (     ) that she disagreed with the plan.,apply,reply,imply,supply,3,会議での彼女の沈黙は、彼女がその計画に反対していることをほのめかしているように見えた。
189,species,種,Many (     ) of birds visit this lake every winter to find food.,spaces,speeches,spices,species,4,多くの種の鳥が、餌を探すために毎冬この湖を訪れる。
190,stretch,ストレッチをする,You should (     ) your arms and legs well before you start exercising.,break,cut,stretch,hurt,3,運動を始める前に腕と脚を十分にストレッチするべきだ。
191,force,（人）に～することを強いる、強制する,The heavy storm (     ) us to cancel our weekend camping trip.,forced,avoided,prevented,refused,1,激しい嵐のため、私たちは週末のキャンプ旅行を中止せざるを得なかった。
192,emotion,感情,She could not hide her (     ) and began to cry with joy.,machine,emotion,window,subject,2,彼女は自分の感情をかくすことができず、うれし泣きを始めた。
193,appropriate,適切な,You should wear (     ) clothes when you go to a job interview at a company.,approximate,apparent,appropriate,accurate,3,会社の就職面接に行くときは、適切な服を着るべきだ。
194,ignore,を無視する,He decided to (     ) the rude comment and just kept walking calmly.,believe,answer,ignore,repeat,3,彼はその失礼な発言を無視して、ただ落ち着いて歩き続けた。
195,combine,～を結びつける,"If you (     ) flour and water carefully, you can make a simple dough.",combine,remove,empty,divide,1,小麦粉と水を丁寧に結びつければ、簡単な生地を作ることができる。
196,trend,流行,Wearing bright colors is a popular (     ) among young people now.,trend,rule,fact,plan,1,明るい色の服を着ることは、今若者の間で人気の流行だ。
197,ingredient,材料,"Flour, sugar, and eggs are the main (     ) you need to bake a cake.",ingredients,instruments,arguments,experiments,1,小麦粉、砂糖、卵が、ケーキを焼くのに必要な主な材料だ。
198,debt,借金,He worked two jobs for years to pay off his huge (     ).,doubt,debt,death,depth,2,彼は、巨額の借金を返済するために何年も二つの仕事をした。
199,substitute,を代わりをする、を代わりに用いる,"When the teacher was sick, another one had to (     ) for her in class.",substitute,subscribe,submit,suffer,1,その先生が病気のとき、別の先生が授業で彼女の代わりをしなければならなかった。
200,seek,を探す,The company is trying to (     ) new workers for its office.,avoid,seek,refuse,forget,2,その会社はオフィスのために新しい働き手を探そうとしている。
201,curious,知りたがりの、好奇心の強い,The (     ) child asked many questions about how the machine worked.,curious,quiet,angry,lazy,1,その好奇心の強い子どもはその機械の仕組みについてたくさん質問した。
202,register,(を)登録する,You must (     ) for the course online before the first class begins.,register,remember,recover,release,1,最初の授業が始まる前に、その講座にオンラインで登録しなければならない。
203,grocery,食糧雑貨,"On the way home, I stopped at the (     ) store to buy milk and eggs.",book,toy,grocery,shoe,3,帰り道に、私は牛乳と卵を買うために食料雑貨店に立ち寄った。
204,gender,性別,"The survey collected data about age, (     ), and the income of each person.",gender,gentle,general,genius,1,その調査は、各人の年齢、性別、収入に関するデータを集めた。
205,calculate,を計算する,"Before buying the house, we need to (     ) how much money we can borrow.",calculate,celebrate,circulate,cultivate,1,その家を買う前に、私たちはいくらお金を借りられるか計算する必要がある。
206,witness,を目撃する,Two people happened to (     ) the car accident at the busy crossing yesterday.,wisdom,witness,witty,wireless,2,昨日、2人がたまたまその混雑した交差点で自動車事故を目撃した。
207,translate,～を翻訳する,"Can you (     ) this English letter into Japanese for me, please?",translate,copy,write,read,1,この英語の手紙を私のために日本語に翻訳してもらえますか。
208,resist,を我慢する、に抵抗する,She found it hard to (     ) the smell of the freshly baked chocolate cake.,remind,remove,reserve,resist,4,彼女は、焼きたてのチョコレートケーキの匂いを我慢するのが難しいと感じた。
209,pour,～を注ぐ,She will (     ) some hot coffee into the cup for the guest.,eat,break,cut,pour,4,彼女は客のためにカップに熱いコーヒーを注ぐつもりだ。
210,stable,安定した,"After years of trouble, the country's economy has finally become more (     ).",suitable,stable,simple,single,2,何年もの困難の後、その国の経済はついにより安定したものになった。
211,option,選択権、選択の自由、選択肢,"If you do not like this plan, you always have the (     ) to choose another one.",opinion,operation,occasion,option,4,この計画が気に入らなければ、いつでも別のものを選ぶという選択肢がある。
212,worth,価値がある,This old painting is (     ) more than a million dollars now.,precious,valuable,worth,costly,3,この古い絵画は今や100万ドル以上の価値がある。
213,fossil,化石,Scientists found a dinosaur (     ) that is millions of years old in the desert.,festival,facial,focus,fossil,4,科学者たちは砂漠で、何百万年も前の恐竜の化石を発見した。
214,council,会議,The city (     ) will meet next week to discuss the new park project.,counter,cousin,council,capital,3,市議会は来週開かれ、新しい公園の計画について話し合う予定だ。
215,obey,(命令・規則など)に従う,All drivers must (     ) the traffic rules in order to keep everyone safe.,obtain,obey,object,oppose,2,すべての運転手は、みんなの安全を守るために交通規則に従わなければならない。
216,detect,を検出する、を感知する,This special machine can (     ) even a tiny amount of smoke in the air.,detect,direct,deduct,reject,1,この特別な機械は、空気中のごくわずかな煙でさえ感知することができる。
217,flavor,味,This ice cream has a sweet strawberry (     ) that most children love.,sound,flavor,color,shape,2,このアイスクリームには、たいていの子どもが大好きな甘いイチゴの味がある。
218,inspire,を奮い立たせる,The teacher's kind words can (     ) students to study even harder.,inquire,require,inspire,admire,3,先生の優しい言葉は、生徒をさらに一生懸命勉強するよう奮い立たせることができる。
219,collapse,崩壊する,The old wooden bridge began to (     ) under the weight of the heavy truck.,complete,collect,collapse,compare,3,その古い木の橋は、重いトラックの重みで崩壊し始めた。
220,typical,よくある典型的な,Eating rice for breakfast is a (     ) custom that almost everyone in this country follows.,secret,typical,rare,foreign,2,朝食に米を食べることは、この国のほとんどの人が従う典型的な習慣だ。
221,negative,消極的な,He has a (     ) attitude and always says that he cannot do anything.,cheerful,active,positive,negative,4,彼は消極的な態度で、いつも自分には何もできないと言う。
222,superior,優れた、上位の,This new model of phone is clearly (     ) to the older one in every way.,interior,exterior,superior,ulterior,3,この新しいモデルの電話は、あらゆる点で古いものより明らかに優れている。
223,punish,を罰する,The school will (     ) any student who cheats during the final examination.,polish,punish,publish,perish,2,学校は、期末試験中に不正をする生徒を誰でも罰するだろう。
224,independent,人に頼らず自立した,"After getting a job, she lived on her own and became fully (     ).",silent,absent,independent,dependent,3,就職した後、彼女は一人で暮らし、完全に自立した。
225,attitude,態度,The teacher liked his positive (     ) toward learning new things.,weather,distance,attitude,muscle,3,先生は新しいことを学ぶ彼の前向きな態度を気に入っていた。
226,deserve,値する,"After working so hard all year, the team really (     ) to win the championship.",reserves,observes,preserves,deserves,4,一年中とても懸命に働いてきたので、そのチームは優勝するに本当に値する。
227,alter,を変える、を改める、変わる,She asked the tailor to (     ) her dress because it was a little too big.,alarm,alter,allow,alert,2,彼女は少し大きすぎたので、仕立て屋にドレスを直してくれるよう頼んだ。
228,nuclear,原子力利用の、核エネルギーの,Many countries are debating whether to build more (     ) power plants for energy.,nuclear,natural,neutral,numerous,1,多くの国が、エネルギーのためにもっと原子力発電所を建てるべきかを議論している。
229,flexible,融通の利く,"My new job has (     ) hours, so I can start working at any time.",valuable,terrible,sensible,flexible,4,私の新しい仕事は融通の利く勤務時間なので、いつでも働き始めることができる。
230,impose,(義務や税)を課す,The government decided to (     ) a new tax on imported cars next year.,improve,impose,import,inform,2,政府は来年、輸入車に新しい税を課すことを決定した。
231,diet,日常の食事,"To stay healthy, you should have a balanced (     ) and exercise every day.",appetite,recipe,diet,flavor,3,健康でいるためには、バランスの取れた食事をとり、毎日運動すべきだ。
232,burst,を破裂[爆発]させる、破裂[爆発]する,"If you put too much air inside, the balloon will suddenly (     ) with a loud sound.",bury,burst,brush,blast,2,中に空気を入れすぎると、その風船は大きな音とともに突然破裂するだろう。
233,breed,を飼育する、を栽培する、を繁殖させる,My uncle owns a farm where he likes to (     ) sheep and cows for milk.,breed,bleed,bread,brand,1,私のおじは農場を所有しており、そこで牛乳のために羊や牛を飼育するのが好きだ。
234,anniversary,結婚などの記念日,They celebrated their tenth wedding (     ) with a special dinner.,festival,anniversary,holiday,birthday,2,彼らは特別なディナーで結婚10周年の記念日を祝った。
235,entire,全体の、完全な,The young teacher spent the (     ) weekend preparing for her first class.,entry,enter,empire,entire,4,その若い先生は、最初の授業の準備のために週末全体を費やした。
236,exhibit,を展示する,The museum will (     ) many famous paintings in its main hall next week.,borrow,sell,destroy,exhibit,4,その美術館は来週、多くの有名な絵画を中央ホールに展示する予定だ。
237,stare,(を)じっと見る,It is rude to (     ) at strangers on the train for a long time.,share,stare,spare,scare,2,電車の中で見知らぬ人を長い間じっと見るのは失礼だ。
238,tribe,部族,The researchers spent a year living with a remote (     ) deep in the rainforest.,trial,tribe,trace,tribute,2,研究者たちは、熱帯雨林の奥深くで遠く離れた部族と一緒に1年間暮らした。
239,initial,最初の,"Although the (     ) cost was high, the machine saved the factory a lot of money later.",essential,official,artificial,initial,4,最初の費用は高かったが、その機械はのちに工場に多くのお金を節約させた。
240,luxury,贅沢(品),"For most families, taking an expensive overseas holiday is a real (     ).",laundry,luxury,lottery,library,2,ほとんどの家庭にとって、高価な海外旅行をすることは本当に贅沢だ。
241,origin,起源,Scientists are still studying the (     ) of life on our planet.,surface,middle,ending,origin,4,科学者たちは今なお、私たちの惑星における生命の起源を研究している。
242,fulfill,を実現する、を果たす,She worked very hard for years to finally (     ) her childhood dream of becoming a pilot.,fill,fail,fulfill,fold,3,彼女はパイロットになるという子どもの頃の夢をついに実現するために、何年も懸命に働いた。
243,overall,全般(全体)的な,"Although a few scenes were boring, my (     ) impression of the movie was quite positive.",overnight,overdue,overhead,overall,4,いくつかの場面は退屈だったが、その映画に対する私の全体的な印象はかなり良かった。
244,relevant,関連した,Please include only information that is (     ) to the topic in your report.,reluctant,relevant,resident,reverent,2,レポートには、そのテーマに関連した情報だけを含めてください。
245,encounter,に遭遇する、に直面する,Travelers may (     ) many problems if they do not plan their trip carefully.,encourage,encounter,entertain,enrich,2,旅行者は、旅行を注意深く計画しないと多くの問題に直面するかもしれない。
246,stimulate,を刺激する,Drinking a cup of coffee can (     ) your brain and help you stay awake.,simulate,strengthen,straighten,stimulate,4,コーヒーを一杯飲むと、脳を刺激して、目を覚ましておく助けになることがある。
247,guarantee,を保証する,The company will (     ) that all products are free from any defects.,graduate,guard,gather,guarantee,4,その会社は、すべての製品に欠陥がないことを保証する。
248,restore,を修復する,It took several years to fully (     ) the old castle to its original beauty.,respond,reserve,resist,restore,4,その古い城を元の美しさに完全に修復するのに数年かかった。
249,puzzle,パズル,"On rainy days, my little sister likes to solve a large jigsaw (     ).",song,puzzle,story,poem,2,雨の日には、幼い妹は大きなジグソーパズルを解くのが好きだ。
250,praise,称賛,The teacher gave the students (     ) for their excellent work.,praise,homework,blame,advice,1,先生は生徒たちのすばらしい取り組みに対して称賛を与えた。
251,specialize,専門とする,This doctor (     ) in children's illnesses.,specializes,becomes,remains,appears,1,この医者は子どもの病気を専門としている。
252,crash,衝突する,The two cars (     ) into each other at the busy intersection last night.,jumped,crashed,walked,pointed,2,昨夜、その2台の車は混雑した交差点で互いに衝突した。
253,interfere,邪魔する,Please do not (     ) with my work while I am trying to finish this report.,interfere,interview,introduce,interrupt,1,私がこの報告書を終わらせようとしている間、私の仕事を邪魔しないでください。
254,forbid,を禁止する,The school rules clearly (     ) students from using their phones during class.,forbid,forget,forgive,forecast,1,校則は、授業中に生徒が携帯電話を使うことをはっきりと禁止している。
255,convert,を変える,The company plans to (     ) the old factory into a modern shopping center.,convert,concert,connect,contact,1,その会社は古い工場を現代的なショッピングセンターに変える計画だ。
256,cough,せき,I have a bad (     ) and a sore throat because of my cold.,laugh,dream,smile,cough,4,風邪のせいで、私はひどいせきとのどの痛みがある。
257,postpone,を延期する,"Because of the heavy rain, the school had to (     ) the sports day until next week.",propose,produce,provide,postpone,4,大雨のため、学校は運動会を来週まで延期しなければならなかった。
258,vital,極めて重要な、不可欠な,Drinking enough water every day is (     ) for keeping your body healthy.,visual,virtual,vital,vivid,3,毎日十分な水を飲むことは、体を健康に保つために極めて重要だ。
259,spill,～をこぼす,Please hold the cup carefully so you don't (     ) the hot coffee.,melt,spill,break,fold,2,熱いコーヒーをこぼさないように、カップを気をつけて持ってください。
260,resemble,～に似ている,People often say that I closely (     ) my older sister.,forget,ignore,resemble,dislike,3,私は姉によく似ているとよく言われる。
261,generous,気前の良い,My uncle is very (     ) and often gives money to people in need.,gorgeous,genuine,gradual,generous,4,私のおじはとても気前が良く、困っている人々によくお金を与える。
262,commute,通勤[通学]する,Many workers (     ) to the city center by train every weekday morning.,commute,compute,compete,complete,1,多くの労働者が、平日の毎朝、電車で都心へ通勤する。
263,steady,安定した、一定した,He kept a (     ) speed on the highway so the passengers felt safe.,sturdy,sticky,stormy,steady,4,彼は乗客が安心できるように、高速道路で安定した速度を保った。
264,stir,(を)かき混ぜる,Please (     ) the soup gently with a spoon while it is cooking on the stove.,stare,stir,stick,stretch,2,コンロで料理している間、スプーンでスープを優しくかき混ぜてください。
265,candidate,候補者、志願者,The political party chose a young (     ) to run in the next election.,candle,calendar,candidate,cabinet,3,その政党は、次の選挙に出馬する若い候補者を選んだ。
266,sacrifice,を犠牲にする,Many parents (     ) their own free time to support their children's education.,sacrifice,satisfy,separate,surround,1,多くの親は、子どもの教育を支えるために自分自身の自由な時間を犠牲にする。
267,arrest,を逮捕する,The police tried to (     ) the man who had stolen money from the bank.,arrest,thank,protect,forgive,1,警察は銀行からお金を盗んだその男を逮捕しようとした。
268,disaster,災害,The earthquake was a terrible (     ) that destroyed many houses.,disaster,meeting,holiday,festival,1,その地震は多くの家を壊したひどい災害だった。
269,adequate,十分な,The hotel room was small but it had (     ) space for the two of us.,adequate,accurate,activate,educate,1,そのホテルの部屋は小さかったが、私たち二人には十分な広さがあった。
270,trace,(の跡)をたどる、をなぞる,The police used the footprints to (     ) the path the missing child had taken.,trade,trace,train,treat,2,警察は、行方不明の子どもがたどった道筋を追うために足跡を使った。
271,faith,信頼、信用,The team won the game because they had complete (     ) in their coach.,faint,fault,faith,fame,3,そのチームは、コーチを完全に信頼していたので試合に勝った。
272,resume,(中断後に)再開する、また始める,"After a short break, the workers decided to (     ) the meeting.",resume,delay,forget,cancel,1,短い休憩の後、作業員たちは会議を再開することにした。
273,awful,ひどい,The weather was so (     ) that we finally canceled the whole trip.,clear,awful,gentle,wonderful,2,天気がとてもひどかったので、私たちはついに旅行全体を中止した。
274,rumor,うわさ,I heard a (     ) that our school will close early tomorrow.,record,sound,rumor,rule,3,明日、私たちの学校が早く閉まるといううわさを聞いた。
275,honor,光栄,It is a great (     ) for me to receive this special award today.,honor,worry,danger,mistake,1,本日この特別な賞をいただけることは、私にとって大変光栄です。
276,aisle,通路,Please put your bag under the seat and keep the (     ) clear for other passengers.,menu,aisle,price,noise,2,かばんは座席の下に置いて、他の乗客のために通路を空けておいてください。
277,laundry,洗濯物,She hung the wet (     ) outside to dry in the sun.,message,furniture,homework,laundry,4,彼女は太陽の下で乾かすために、ぬれた洗濯物を外に干した。
278,delicate,壊れやすい、繊細な,Be careful with this (     ) glass cup because it breaks very easily.,delicate,hard,heavy,strong,1,このガラスのコップはとても壊れやすいので気をつけて。
279,altitude,高度、海抜,"As the plane gained (     ), the houses below looked smaller and smaller.",attitude,altitude,gratitude,aptitude,2,飛行機が高度を上げるにつれて、下の家々はますます小さく見えた。
280,inherit,を継ぐ、を相続する,"When his grandfather died, he was able to (     ) the old family house in the countryside.",inform,inherit,insist,invent,2,祖父が亡くなったとき、彼は田舎にある古い実家を継ぐことができた。
281,manual,マニュアル,Read the (     ) carefully before you use the new machine.,manual,menu,receipt,ticket,1,新しい機械を使う前に、マニュアルを注意深く読みなさい。
282,dizzy,めまいがする,"After spinning around so many times, the little boy felt (     ) and sat down.",busy,lazy,noisy,dizzy,4,何度もぐるぐる回った後、その小さな男の子はめまいがして座り込んだ。
283,tremble,震える,Her hands began to (     ) with fear when she heard the strange noise.,tremble,trouble,stumble,grumble,1,奇妙な物音を聞いたとき、彼女の手は恐怖で震え始めた。
284,confess,告白する、を告白する,The boy finally decided to (     ) that he had broken the window with his ball.,confuse,confirm,confess,conform,3,その少年はついに、ボールで窓を割ってしまったことを告白する決心をした。
285,subject,話題,The weather is a common (     ) when people don't know each other well.,product,object,subject,project,3,天気は、人々がお互いをよく知らないときの一般的な話題だ。
286,provide,を提供[供給]する,The hotel (     ) free breakfast and Wi-Fi for all of its guests.,damages,provides,wastes,reduces,2,そのホテルは、すべての宿泊客に無料の朝食とWi-Fiを提供している。
287,focus,焦点,The main (     ) of the meeting was the new safety rules.,focus,forecast,format,fortune,1,その会議の主な焦点は、新しい安全規則だった。
288,share,～を共有する,"We only have one umbrella, so we have to (     ) it in the rain.",share,lose,sell,close,1,傘が一本しかないので、雨の中でそれを共有しなければならない。
289,prepare,（の）準備をする,The students need to (     ) well for the difficult examination next week.,protect,present,prefer,prepare,4,生徒たちは来週の難しい試験のためにしっかり準備をする必要がある。
290,claim,～を主張する、言い張る,"The man (     ) that he was innocent, but the police did not believe his story.",wondered,replied,claimed,whispered,3,その男は自分が無実だと主張したが、警察は彼の話を信じなかった。
291,repair,を修理する、直す,My father knows how to (     ) a broken bicycle all by himself.,ride,break,repair,wash,3,父は壊れた自転車を自分だけで修理する方法を知っている。
292,realize,を実現する,"After years of hard work, she was finally able to (     ) her dream of becoming a doctor.",realize,lose,forget,imagine,1,何年もの努力の末、彼女はついに医者になるという夢を実現することができた。
293,economy,経済,The country's (     ) has improved over the past few years.,energy,enemy,economy,agency,3,その国の経済は、ここ数年で改善した。
294,recommend,～を推薦する、勧める,Can you (     ) a good English dictionary for a beginner like me?,teach,recommend,speak,spell,2,私のような初心者に良い英語の辞書を勧めてもらえますか。
295,prefer,の方を好む,I (     ) tea to coffee in the morning.,present,prevent,prefer,prepare,3,私は朝、コーヒーより紅茶の方が好きだ。
296,benefit,利益,One (     ) of living in the city is that there are many job opportunities.,result,reason,benefit,problem,3,都市に住むことの利点の1つは、多くの仕事の機会があることだ。
297,cause,を引き起こす,Driving too fast can (     ) serious accidents on the highway.,arrive,become,cause,happen,3,スピードを出しすぎると高速道路で重大な事故を引き起こすことがある。
298,evidence,証拠,The police found strong (     ) that he was at the scene.,existence,excellence,evidence,experience,3,警察は、彼が現場にいたという強い証拠を見つけた。
299,regard,ある見方で人や物をとらえる、みなす,Many critics (     ) her latest novel as the finest work of her whole career.,destroy,ignore,regard,reject,3,多くの批評家は、彼女の最新の小説を彼女のこれまでの経歴で最高の作品とみなしている。
300,agree,賛成する,I completely (     ) with your plan because it will save a lot of money.,answer,forget,refuse,agree,4,たくさんのお金を節約できるので、私は君の計画に完全に賛成する。
